,country,HDI,suicides/100k pop
173,Czech Republic,0.726,24.334166666666665
174,Czech Republic,0.728,25.2675
175,Czech Republic,0.73,26.185
176,Czech Republic,0.735,24.80333333333333
177,Czech Republic,0.7440000000000001,24.44
178,Czech Republic,0.753,22.03333333333333
179,Czech Republic,0.767,20.29
180,Czech Republic,0.774,19.510833333333334
181,Czech Republic,0.775,18.891666666666666
182,Czech Republic,0.784,19.74416666666667
183,Czech Republic,0.7959999999999999,18.886666666666667
184,Czech Republic,0.8059999999999999,18.41
185,Czech Republic,0.813,17.679166666666664
186,Czech Republic,0.8220000000000001,19.573333333333338
187,Czech Republic,0.825,16.918333333333333
188,Czech Republic,0.835,16.116666666666664
189,Czech Republic,0.843,14.866666666666667
190,Czech Republic,0.85,14.231666666666667
191,Czech Republic,0.8540000000000001,14.584166666666663
192,Czech Republic,0.857,14.975833333333329
193,Czech Republic,0.862,14.635
194,Czech Republic,0.865,15.93625
195,Czech Republic,0.8740000000000001,15.505833333333335
196,Czech Republic,0.879,14.607499999999995
197,Czech Republic,0.882,14.239166666666664
198,Denmark,0.8240000000000001,25.59666666666667
199,Denmark,0.831,12.044444444444444
200,Denmark,0.8370000000000001,19.13
201,Denmark,0.843,18.205000000000002
202,Denmark,0.8490000000000001,15.723333333333334
203,Denmark,0.861,15.257500000000002
204,Denmark,0.863,15.089166666666669
205,Denmark,0.8759999999999999,15.514166666666668
206,Denmark,0.883,14.709166666666668
207,Denmark,0.894,13.058333333333332
208,Denmark,0.898,13.481666666666667
209,Denmark,0.903,13.685833333333333
210,Denmark,0.904,11.663333333333332
211,Denmark,0.905,13.506666666666668
212,Denmark,0.9059999999999999,12.058333333333332
213,Denmark,0.909,11.920833333333333
214,Denmark,0.91,10.835
215,Denmark,0.922,10.5275
216,Denmark,0.924,11.934166666666664
217,Denmark,0.9259999999999999,10.665416666666665
218,Denmark,0.9279999999999999,11.4775
219,Estonia,0.7240000000000001,45.26583333333332
220,Estonia,0.7340000000000001,44.06
