,country,gdp_per_capita ($),suicides/100k pop
84,Azerbaijan,759,5.004166666666667
85,Azerbaijan,784,2.898333333333334
86,Azerbaijan,820,1.6183333333333332
87,Azerbaijan,948,2.2558333333333334
88,Azerbaijan,1122,1.5274999999999999
89,Azerbaijan,1398,2.6858333333333335
90,Azerbaijan,1439,2.050833333333333
91,Azerbaijan,4172,0.9858333333333335
92,Belarus,1269,37.53
93,Belarus,1299,34.97083333333334
94,Belarus,1335,37.275
95,Belarus,1444,33.6675
96,Belarus,1458,37.20833333333333
97,Belarus,1524,37.97583333333333
98,Belarus,1541,34.24999999999999
99,Belarus,1547,33.63166666666667
100,Belarus,1570,37.97
101,Belarus,1689,30.425833333333333
102,Belarus,1780,26.18666666666667
103,Belarus,1892,37.071666666666665
104,Belarus,1899,24.803333333333338
105,Belarus,2301,22.864166666666666
106,Belarus,4898,29.657500000000002
107,Belarus,5366,31.294999999999998
108,Belarus,6371,27.664999999999996
109,Belarus,6601,29.346666666666664
110,Belarus,6902,24.94666666666667
111,Belarus,8477,22.776666666666667
112,Belarus,8849,21.075833333333332
113,Belgium,9356,27.67
114,Belgium,12992,26.224166666666665
115,Belgium,16165,27.313333333333333
116,Belgium,17509,23.649999999999995
117,Belgium,17659,23.737499999999994
118,Belgium,22032,23.092499999999998
119,Belgium,22523,22.001666666666665
120,Belgium,23875,25.039166666666663
121,Belgium,24494,21.768333333333334
122,Belgium,24592,22.316666666666666
123,Belgium,25036,22.156666666666666
124,Belgium,25922,25.033333333333335
125,Belgium,26526,20.654999999999998
126,Belgium,26609,23.728333333333328
127,Belgium,26969,19.225
128,Belgium,27087,22.061666666666664
129,Belgium,29438,22.295
130,Belgium,30394,23.825000000000003
131,Belgium,32538,20.727499999999996
132,Belgium,37661,19.255000000000003
133,Belgium,39124,19.312500000000004
134,Belgium,41135,17.90833333333333
135,Belgium,42830,16.388333333333332
136,Belgium,47040,17.38083333333333
137,Belgium,47355,18.348333333333333
138,Belgium,47630,18.195833333333336
139,Belgium,47678,18.094166666666666
140,Belgium,49489,16.795833333333338
141,Belgium,50173,16.820833333333336
142,Belgium,50893,18.8925
143,Belgium,51345,18.46166666666667
144,Bosnia and Herzegovina,5076,0.10916666666666668
145,Bosnia and Herzegovina,5079,9.125
146,Bulgaria,1213,24.0325
147,Bulgaria,1270,24.683333333333337
148,Bulgaria,1287,25.883333333333326
149,Bulgaria,1298,22.411666666666665
150,Bulgaria,1354,23.196666666666673
151,Bulgaria,1411,23.03
152,Bulgaria,1636,23.15416666666667
153,Bulgaria,1680,21.60166666666667
154,Bulgaria,1715,20.8925
155,Bulgaria,1852,25.38416666666667
156,Bulgaria,1854,20.385
157,Bulgaria,2044,25.259999999999994
158,Bulgaria,2157,20.6125
159,Bulgaria,2413,22.956666666666667
160,Bulgaria,2451,21.36916666666667
161,Bulgaria,2617,24.349166666666665
162,Bulgaria,2688,24.37416666666667
163,Bulgaria,2800,17.304166666666667
164,Bulgaria,3355,25.699999999999992
165,Bulgaria,3485,15.343333333333332
166,Bulgaria,4003,14.838333333333333
167,Bulgaria,4638,15.544166666666667
168,Bulgaria,6073,14.480833333333335
169,Bulgaria,7066,13.187500000000005
170,Bulgaria,7186,12.868333333333332
171,Bulgaria,7487,14.195
172,Bulgaria,7745,13.680833333333332
173,Bulgaria,8057,11.180000000000001
174,Bulgaria,8137,11.126666666666665
175,Bulgaria,8241,11.6475
176,Croatia,4978,25.461666666666662
177,Croatia,5288,26.895833333333332
178,Croatia,5459,27.273333333333337
179,Croatia,5546,26.141666666666666
180,Croatia,5571,23.96166666666667
181,Croatia,5610,27.899166666666662
182,Croatia,6015,28.691666666666674
183,Croatia,6373,25.343333333333334
184,Croatia,8202,23.47416666666666
185,Croatia,9829,25.186666666666667
